"index","uuid","stage_started_datetime","stage_completed_datetime","stage_delta","prod_started_datetime","prod_completed_datetime","prod_delta"
0,64bee392-d50b-4c19-9fee-a8e2c0211201,2021-12-01 20:58:44.542952+00:00,2021-12-01 20:58:47.964781+00:00,3,2021-12-01 20:58:38.947448+00:00,2021-12-01 20:58:44.795375+00:00,5
1,55080485-b840-445b-8be0-677d70211201,2021-12-01 20:58:44.287006+00:00,2021-12-01 20:58:48.239527+00:00,3,2021-12-01 20:58:37.432373+00:00,2021-12-01 20:58:43.748941+00:00,6
2,8d0c68e9-868f-4f0d-924c-849970211201,2021-12-01 21:11:34.164459+00:00,2021-12-01 21:11:36.946867+00:00,2,2021-12-01 21:11:27.060592+00:00,2021-12-01 21:11:31.349324+00:00,4
3,8d682509-cde6-4935-ae2c-3ad790211201,2021-12-01 21:22:49.257914+00:00,2021-12-01 21:22:53.719550+00:00,4,2021-12-01 21:22:47.139278+00:00,2021-12-01 21:22:54.656834+00:00,7
4,14d3049f-dad7-4aab-acac-0a5af0211201,2021-12-01 21:29:00.782269+00:00,2021-12-01 21:29:03.246438+00:00,2,2021-12-01 21:28:27.575626+00:00,2021-12-01 21:28:34.050933+00:00,6
5,ade45439-8cb2-46ec-985a-809680211201,2021-12-01 21:28:59.359664+00:00,2021-12-01 21:29:02.453228+00:00,3,2021-12-01 21:28:03.956323+00:00,2021-12-01 21:28:07.831002+00:00,3
6,f00c0451-d3bc-4f7e-bf3d-721240211201,2021-12-01 21:46:39.566788+00:00,2021-12-01 21:46:41.410645+00:00,1,2021-12-01 21:46:14.882776+00:00,2021-12-01 21:46:17.516366+00:00,2
7,a0cee267-0207-435d-8d87-9e0120211201,2021-12-01 21:56:19.781550+00:00,2021-12-01 21:56:24.886964+00:00,5,2021-12-01 21:55:38.748358+00:00,2021-12-01 21:55:46.362492+00:00,7
8,c0094943-81e6-4707-a509-caf500211201,2021-12-01 22:03:48.056140+00:00,2021-12-01 22:03:49.918631+00:00,1,2021-12-01 22:03:48.336280+00:00,2021-12-01 22:03:54.054266+00:00,5
9,7de8d12f-5730-49b1-a186-54c710211201,2021-12-01 22:59:42.562276+00:00,2021-12-01 22:59:43.598554+00:00,1,2021-12-01 22:59:36.101936+00:00,2021-12-01 22:59:39.349675+00:00,3
