date,--,Fenix,Firefox,Focus,MozillaVPN,ReferenceBrowser,Thunderbird,total
2023-06-08 00:00:00,0,26405,53532,432,0,0,15153,95522
2023-06-09 00:00:00,0,24175,51706,550,0,0,15184,91615
2023-06-10 00:00:00,0,26753,34861,498,0,0,6262,68374
2023-06-11 00:00:00,0,25178,35336,538,1,0,6221,67274
2023-06-12 00:00:00,0,35280,59439,578,0,3,18192,113492
2023-06-13 00:00:00,0,29325,58971,520,1,1,18021,106839
2023-06-14 00:00:00,0,25481,60045,505,0,0,18393,104424
2023-06-15 00:00:00,0,25358,54815,583,2,3,16751,97512
2023-06-16 00:00:00,0,25636,51568,496,0,0,15181,92881
2023-06-17 00:00:00,0,25333,39178,451,1,0,6399,71362
2023-06-18 00:00:00,0,24959,38228,473,0,0,6685,70345
2023-06-19 00:00:00,0,24600,62681,385,0,0,18466,106132
2023-06-20 00:00:00,0,25971,62953,471,0,0,17616,107011
2023-06-21 00:00:00,0,24594,66186,489,0,0,16304,107573
2023-06-22 00:00:00,0,27108,66538,476,0,0,16074,110196
2023-06-23 00:00:00,0,25710,52487,484,0,0,14755,93436
2023-06-24 00:00:00,0,25284,34784,492,0,0,5920,66480
2023-06-25 00:00:00,0,24836,35839,515,3,0,5885,67078
2023-06-26 00:00:00,0,24364,60319,453,3,3,17490,102632
2023-06-27 00:00:00,0,24706,57669,522,0,0,16426,99323
2023-06-28 00:00:00,0,24409,53551,555,0,0,16464,94979
2023-06-29 00:00:00,0,23664,52169,494,3,0,15669,91999
2023-06-30 00:00:00,0,23787,50273,518,0,0,15038,89616
2023-07-01 00:00:00,0,24690,33411,515,0,0,6591,65207
2023-07-02 00:00:00,0,24189,32229,470,2,0,6171,63061
2023-07-03 00:00:00,0,24468,56713,440,2,0,18163,99786
2023-07-04 00:00:00,0,24924,55621,485,2,0,16531,97563
2023-07-05 00:00:00,0,25214,59893,477,1,0,16528,102113
2023-07-06 00:00:00,0,23792,63433,486,3,0,16265,103979
2023-07-07 00:00:00,0,24197,59191,441,0,0,14503,98332
2023-07-08 00:00:00,0,24268,38085,496,2,0,6563,69414
2023-07-09 00:00:00,0,25523,38562,568,0,0,6528,71181
2023-07-10 00:00:00,0,25753,64063,564,0,0,19918,110298
2023-07-11 00:00:00,0,26511,64969,512,0,0,18712,110704
2023-07-12 00:00:00,0,26273,67834,551,0,0,20938,115596
2023-07-13 00:00:00,0,26405,63083,411,0,0,18370,108269
2023-07-14 00:00:00,0,24638,54474,496,0,0,15132,94740
2023-07-15 00:00:00,0,28106,37831,450,0,0,6682,73069
2023-07-16 00:00:00,0,24133,34894,439,0,0,6046,65512
2023-07-17 00:00:00,0,25176,59997,472,3,0,17096,102744
2023-07-18 00:00:00,0,25845,87769,467,0,0,17266,131347
2023-07-19 00:00:00,0,25314,103489,529,2,0,16396,145730
2023-07-20 00:00:00,0,24583,62135,436,4,0,16204,103362
2023-07-21 00:00:00,0,23544,58204,538,1,0,14789,97076
2023-07-22 00:00:00,0,25658,40977,543,1,0,6305,73484
2023-07-23 00:00:00,0,24509,40031,533,4,0,6124,71201
2023-07-24 00:00:00,0,24297,66042,512,0,0,17729,108580
2023-07-25 00:00:00,0,30023,68680,618,1,0,16467,115789
2023-07-26 00:00:00,0,31792,59755,866,0,0,16320,108733
2023-07-27 00:00:00,0,31868,59680,787,0,0,15926,108261
2023-07-28 00:00:00,0,32122,58124,800,1,3,14494,105544
2023-07-29 00:00:00,0,33355,43744,871,0,2,6503,84475
2023-07-30 00:00:00,0,33943,43406,821,1,0,6146,84317
2023-07-31 00:00:00,0,33043,71756,783,0,0,17161,122743
2023-08-01 00:00:00,0,32347,75260,715,1,0,16333,124656
2023-08-02 00:00:00,0,31590,86896,734,0,0,16399,135619
2023-08-03 00:00:00,0,30069,88872,769,3,0,16427,136140
2023-08-04 00:00:00,0,28756,84441,682,0,0,15102,128981
2023-08-05 00:00:00,0,29602,64257,603,0,0,6679,101141
2023-08-06 00:00:00,0,29604,61566,629,0,0,6518,98317
2023-08-07 00:00:00,0,28915,94919,564,0,0,17240,141638
2023-08-08 00:00:00,0,28899,93426,592,0,0,16126,139043
2023-08-09 00:00:00,0,46217,97458,1081,0,0,17144,161900
2023-08-10 00:00:00,0,50990,91023,1090,1,0,14782,157886
2023-08-11 00:00:00,0,51042,85123,1186,0,27,12238,149616
2023-08-12 00:00:00,0,55044,68582,1173,1,0,5963,130763
2023-08-13 00:00:00,0,54980,62844,1109,1,0,5443,124377
2023-08-14 00:00:00,0,52848,91592,1115,1,0,13352,158908
2023-08-15 00:00:00,0,52180,82276,1228,0,0,11473,147157
2023-08-16 00:00:00,0,51838,90108,1103,4,0,14246,157299
