date,--,,WH, , no ,",",-aurora,0,202308,AMI,Bosch,DISABLED_SYA,EIZO-DT-IT-Support,Espresso,IEFox8,Kampina,MOZlLLA,NO,Patec,Prefeitura Municipal de Santos,Release,Sapphire,UofA,W;D,aurora,beta,beta-cdntest,default,defaults,dev,donotupdate,e s r,esr,esr-dev,false,nightldy,nightly,nightly-autoland,nightly-elm,nightly-pine-stable,nightlytest,no,no updata,nochannel,none,noupdate1901,noway,null,on,release,sm-esr,www.shritec.com,ᓇ,奥奥�,�������,total
2023-07-01 00:00:00,34,0,0,0,0,0,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,449,2044,0,65,0,0,0,0,3654,0,0,0,1244,0,0,0,0,7,0,0,2,0,0,0,0,17040,0,0,0,0,0,24570
2023-07-02 00:00:00,54,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,437,1579,0,53,0,0,0,0,3175,0,0,0,885,0,0,0,0,5,0,0,0,0,0,0,0,16497,0,0,0,0,0,22706
2023-07-03 00:00:00,111,4,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,1,0,0,0,0,0,0,611,2464,0,92,0,0,0,0,12115,1,0,0,1215,0,0,0,0,46,0,1,6,0,1,0,0,24519,0,1,0,0,0,41340
2023-07-04 00:00:00,87,1,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,4,1,2,0,0,0,0,619,2413,0,89,0,0,0,0,10903,0,0,0,1072,0,0,0,0,40,0,0,4,0,0,0,0,23518,0,0,0,0,0,38900
2023-07-05 00:00:00,89,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,7,0,0,0,0,0,0,692,2416,0,77,0,0,0,0,13008,0,0,0,1037,0,0,0,0,41,0,0,11,0,0,0,0,27690,0,0,0,0,0,45234
2023-07-06 00:00:00,88,3,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,1,0,0,0,0,0,1,796,2088,0,75,0,0,0,0,18310,0,0,0,1176,0,0,0,0,43,0,0,6,0,0,0,0,26953,0,0,0,0,0,49680
2023-07-07 00:00:00,110,1,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,1,0,0,0,0,0,785,1815,0,65,0,0,0,1,16362,0,0,0,1775,0,0,0,0,31,0,0,5,0,0,0,0,24692,0,0,0,0,0,45756
2023-07-08 00:00:00,33,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,665,1314,0,42,0,0,0,0,7024,0,0,0,943,0,0,0,0,8,0,3,2,0,0,0,0,19192,0,0,0,0,0,29251
2023-07-09 00:00:00,30,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,559,1075,0,24,0,0,0,0,5979,0,0,0,917,0,0,0,0,8,0,0,1,0,0,0,0,18287,0,0,0,0,0,26900
2023-07-10 00:00:00,117,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,1,1,0,0,0,0,0,859,1860,0,86,0,0,0,0,18741,0,0,0,995,0,0,0,0,42,0,0,6,0,0,0,0,27621,0,0,0,0,0,50473
2023-07-11 00:00:00,101,1,0,1,0,0,0,0,0,0,118,0,0,0,0,0,0,1,0,0,0,0,0,0,858,1838,0,69,0,0,0,0,20325,0,0,0,1145,0,0,0,0,31,0,0,5,0,0,0,0,26869,0,0,0,0,0,51362
2023-07-12 00:00:00,120,2,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,892,2127,0,81,0,0,0,1,17036,0,0,0,1600,0,0,0,0,66,0,0,10,0,0,0,0,32603,0,0,0,0,0,54656
2023-07-13 00:00:00,73,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,1,0,0,0,0,0,0,850,2037,0,75,0,0,0,0,17955,0,0,0,1070,0,0,0,0,32,0,0,6,0,0,3,0,28827,0,0,0,0,0,51066
2023-07-14 00:00:00,80,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,1,0,0,817,1748,0,82,1,0,0,0,15430,0,0,0,1028,0,0,0,0,45,0,0,9,0,0,0,0,24616,0,0,0,0,0,43983
2023-07-15 00:00:00,30,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,540,1341,0,28,0,0,0,0,8518,0,0,0,884,0,0,0,0,26,0,0,3,0,0,0,0,18604,0,0,0,0,0,30005
2023-07-16 00:00:00,30,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,524,1133,0,37,0,0,0,0,6912,0,0,0,795,0,0,0,0,8,0,0,4,0,0,0,0,17533,0,0,0,0,0,27000
2023-07-17 00:00:00,99,2,0,0,0,0,0,0,0,1,153,0,0,0,0,0,0,1,0,0,0,0,0,0,768,1986,0,98,1,0,0,0,18398,0,1,0,891,1,0,0,0,39,0,0,2,0,0,0,0,26108,0,0,0,0,0,48549
2023-07-18 00:00:00,81,8,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,685,1904,0,87,0,0,0,0,48341,0,0,0,1294,0,0,0,0,55,0,1,5,0,0,0,0,23522,0,0,0,0,0,76126
2023-07-19 00:00:00,92,1,0,0,0,0,0,0,0,0,148,0,0,1,0,0,0,2,0,0,0,0,0,0,655,1807,0,80,0,0,0,0,66021,0,0,0,903,0,0,1,0,51,0,0,8,0,0,0,0,22161,0,0,0,0,0,91931
2023-07-20 00:00:00,92,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,3,0,0,0,0,0,0,669,1820,0,87,0,0,0,0,25669,0,0,0,955,0,1,0,0,31,0,0,11,0,0,0,0,21817,0,0,0,0,0,51292
2023-07-21 00:00:00,95,2,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,1,0,0,0,1,0,0,668,1634,0,80,0,0,0,1,22913,0,0,0,1373,0,0,0,0,42,0,0,13,0,0,0,0,20730,0,0,0,0,0,47703
2023-07-22 00:00:00,57,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,571,1160,0,33,0,0,0,0,13936,0,0,0,1052,0,0,0,0,12,0,0,4,0,0,0,0,16603,0,0,0,0,0,33449
2023-07-23 00:00:00,50,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,467,1017,0,37,0,0,0,0,13163,0,0,0,1284,0,0,0,0,14,0,0,6,0,0,0,0,16343,0,1,0,0,0,32409
2023-07-24 00:00:00,116,3,3,0,0,0,0,0,0,0,161,0,0,0,0,0,0,1,0,0,0,0,0,0,727,1641,0,75,0,0,0,0,26500,0,0,0,953,0,0,0,0,49,0,0,12,0,0,0,0,24649,0,1,0,0,0,54891
2023-07-25 00:00:00,86,1,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,5,0,0,0,0,0,0,633,1640,0,99,0,0,0,0,26070,0,0,0,954,0,0,0,0,23,0,0,8,0,0,0,0,23570,0,0,1,0,0,53255
2023-07-26 00:00:00,87,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,8,0,0,0,0,0,0,665,1552,0,80,0,0,0,0,25156,0,0,0,1017,1,0,0,0,48,0,0,12,1,0,0,0,21498,0,0,0,0,0,50272
2023-07-27 00:00:00,79,0,0,0,0,0,0,0,0,0,128,0,0,0,1,0,0,0,0,0,0,0,0,0,632,1541,0,93,0,0,0,0,24422,0,0,0,997,1,0,0,0,52,0,1,11,0,0,0,0,22195,0,0,0,0,0,50153
2023-07-28 00:00:00,70,0,0,0,0,0,0,1,0,0,158,0,0,0,0,0,0,0,1,0,0,0,0,0,545,1459,0,85,0,0,0,0,22478,0,0,0,932,1,0,0,0,52,0,0,5,0,0,0,0,23459,0,0,0,0,0,49246
2023-07-29 00:00:00,60,0,0,1,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,513,1152,0,44,0,0,0,0,16541,0,0,0,824,0,0,0,0,7,0,0,9,0,0,0,0,17643,0,0,0,0,0,36849
2023-07-30 00:00:00,43,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,463,1023,0,40,0,0,0,0,17047,0,0,0,878,0,0,0,0,12,0,0,2,0,0,0,0,16622,0,0,0,0,0,36176
2023-07-31 00:00:00,113,1,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,643,1622,0,108,0,0,0,0,33117,0,0,0,923,0,0,0,0,51,0,0,5,0,0,0,0,24596,0,0,0,0,0,61340
2023-08-01 00:00:00,70,2,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,659,1447,0,87,0,0,0,1,37447,0,0,0,849,0,0,0,0,57,0,0,9,0,1,0,0,23714,0,0,0,0,0,64546
2023-08-02 00:00:00,69,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,1,0,0,0,0,0,810,1590,0,78,2,0,0,0,47284,0,0,0,1529,0,0,0,0,45,0,0,8,0,0,0,0,24155,0,0,0,0,0,75762
2023-08-03 00:00:00,76,1,0,0,0,0,0,1,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,769,1617,0,91,0,0,0,0,51721,0,0,0,938,0,0,0,0,55,0,0,9,0,0,0,0,22405,0,0,0,0,0,77800
2023-08-04 00:00:00,97,1,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,723,1659,0,73,1,0,0,0,49562,0,0,0,1102,0,0,0,0,47,0,0,1,0,0,0,0,20839,0,0,0,0,0,74257
2023-08-05 00:00:00,47,0,0,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,530,1101,0,42,0,0,0,0,37558,0,0,0,1374,0,0,0,0,13,0,0,0,0,0,0,0,15871,0,0,0,0,0,56578
