date,--,Firefox,MozillaVPN,Thunderbird,total
2023-07-01 00:00:00,0,24570,0,5897,30467
2023-07-02 00:00:00,0,22706,2,5532,28240
2023-07-03 00:00:00,0,41340,2,16436,57778
2023-07-04 00:00:00,0,38900,2,15051,53953
2023-07-05 00:00:00,0,45234,1,14954,60189
2023-07-06 00:00:00,0,49680,2,14730,64412
2023-07-07 00:00:00,0,45756,0,13195,58951
2023-07-08 00:00:00,0,29251,2,5946,35199
2023-07-09 00:00:00,0,26900,0,5876,32776
2023-07-10 00:00:00,0,50473,0,18062,68535
2023-07-11 00:00:00,0,51362,0,16881,68243
2023-07-12 00:00:00,0,54656,0,19237,73893
2023-07-13 00:00:00,0,51066,0,16894,67960
2023-07-14 00:00:00,0,43983,0,13853,57836
2023-07-15 00:00:00,0,30005,0,6068,36073
2023-07-16 00:00:00,0,27000,0,5383,32383
2023-07-17 00:00:00,0,48549,3,15569,64121
2023-07-18 00:00:00,0,76126,0,15723,91849
2023-07-19 00:00:00,0,91931,2,14908,106841
2023-07-20 00:00:00,0,51292,4,14715,66011
2023-07-21 00:00:00,0,47703,1,13445,61149
2023-07-22 00:00:00,0,33449,1,5657,39107
2023-07-23 00:00:00,0,32409,4,5558,37971
2023-07-24 00:00:00,0,54891,0,16092,70983
2023-07-25 00:00:00,0,53255,1,15044,68300
2023-07-26 00:00:00,0,50272,0,14865,65137
2023-07-27 00:00:00,0,50153,0,14525,64678
2023-07-28 00:00:00,0,49246,1,13192,62439
2023-07-29 00:00:00,0,36849,0,5852,42701
2023-07-30 00:00:00,0,36176,1,5492,41669
2023-07-31 00:00:00,0,61340,0,15602,76942
2023-08-01 00:00:00,0,64546,1,14869,79416
2023-08-02 00:00:00,0,75762,0,14967,90729
2023-08-03 00:00:00,0,77800,3,14966,92769
2023-08-04 00:00:00,0,74257,0,13772,88029
2023-08-05 00:00:00,0,56578,0,5961,62539
2023-08-06 00:00:00,0,53747,0,5817,59564
2023-08-07 00:00:00,0,84028,0,15674,99702
2023-08-08 00:00:00,0,82195,0,14638,96833
2023-08-09 00:00:00,0,85826,0,15787,101613
2023-08-10 00:00:00,0,79640,1,13521,93162
2023-08-11 00:00:00,0,73782,0,11119,84901
2023-08-12 00:00:00,0,59586,1,5335,64922
2023-08-13 00:00:00,0,53459,1,4832,58292
2023-08-14 00:00:00,0,80249,1,12093,92343
2023-08-15 00:00:00,0,70877,0,10290,81167
2023-08-16 00:00:00,0,78202,4,12891,91097
2023-08-17 00:00:00,0,77411,3,13002,90416
2023-08-18 00:00:00,0,73908,0,12090,85998
2023-08-19 00:00:00,0,57148,1,5471,62620
2023-08-20 00:00:00,0,51555,0,5396,56951
2023-08-21 00:00:00,0,80212,2,15057,95271
2023-08-22 00:00:00,0,78613,1,14197,92811
2023-08-23 00:00:00,0,77799,5,14058,91862
2023-08-24 00:00:00,0,77465,0,14028,91493
2023-08-25 00:00:00,0,72922,0,12791,85713
2023-08-26 00:00:00,0,55409,1,5584,60994
2023-08-27 00:00:00,0,51877,3,5445,57325
2023-08-28 00:00:00,0,83896,0,16245,100141
2023-08-29 00:00:00,0,81436,0,15021,96457
2023-08-30 00:00:00,0,85293,4,14965,100262
2023-08-31 00:00:00,0,82589,0,15849,98438
2023-09-01 00:00:00,0,75931,0,14791,90722
