Time,tecken.upload_archive.mean
1632319200000,18124.200900190044
1632322800000,4633.946250018198
1632326400000,45091.15938192581
1632330000000,35971.52608785681
1632333600000,52859.87613614204
1632337200000,44926.57275674719
1632340800000,35510.529182448714
1632344400000,48061.91618691914
1632348000000,53906.5294897089
1632351600000,37644.06259960573
1632355200000,8692.873886999829
1632358800000,30842.684905056052
1632362400000,613.3990960079245
1632366000000,
1632369600000,42425.928554201164
1632373200000,47069.60909971552
1632376800000,
1632380400000,0.1930739963427186
1632384000000,59703.77444018379
1632387600000,37189.47700867526
1632391200000,49819.22979370518
1632394800000,43303.04422323779
1632398400000,38119.485291149234
1632402000000,29073.27397688904
1632405600000,11803.792642796907
1632409200000,61731.489504441444
1632412800000,49327.00804563068
1632416400000,35906.99082288438
1632420000000,37608.44241020992
1632423600000,41044.032357879645
1632427200000,44475.38078995458
1632430800000,52151.88025780772
1632434400000,43748.324978799974
1632438000000,27088.85283023119
1632441600000,31300.155500221583
1632445200000,24606.441410091065
1632448800000,21066.301850285527
1632452400000,598.6688500051969
1632456000000,49712.26569116698
1632459600000,15096.778140999959
1632463200000,20957.70156981189
1632466800000,23064.400854995863
1632470400000,23179.858306000824
1632474000000,
1632477600000,45034.042377532445
1632481200000,38417.58370328102
1632484800000,
1632488400000,55317.47326244092
1632492000000,40432.332084797854
1632495600000,39692.33435025035
1632499200000,11857.106737006688
1632502800000,
1632506400000,
1632510000000,49153.92423331532
1632513600000,39824.687471313606
1632517200000,8778.314760997697
1632520800000,51483.45537178963
1632524400000,32947.154308610436
1632528000000,6872.119007497531
1632531600000,
1632535200000,
1632538800000,
1632542400000,
1632546000000,14380.447461007861
1632549600000,36092.63745466645
1632553200000,17078.615630355802
1632556800000,
1632560400000,
1632564000000,69936.27017500148
1632567600000,32154.38581499841
1632571200000,5347.5844180211425
1632574800000,
1632578400000,
1632582000000,
1632585600000,
1632589200000,
1632592800000,
1632596400000,48612.733822878
1632600000000,39298.45521480638
1632603600000,10517.300751666577
1632607200000,47454.60785428909
1632610800000,26728.640330543964
1632614400000,5937.129053498211
1632618000000,22543.982388000586
1632621600000,0.23752701235935092
1632625200000,
1632628800000,0.2027575028478168
1632632400000,18298.578873999457
1632636000000,368.47451550420374
1632639600000,
1632643200000,
1632646800000,
1632650400000,63262.53434639948
1632654000000,37805.71105104056
1632657600000,15915.705207327846
1632661200000,
1632664800000,
1632668400000,
1632672000000,
1632675600000,
1632679200000,
1632682800000,47891.8571379992
1632686400000,42172.31655518117
1632690000000,43232.35763472574
1632693600000,37325.15841355295
1632697200000,22551.958652649773
1632700800000,5561.912090983242
1632704400000,625.6676130287815
1632708000000,23039.773099008016
1632711600000,
1632715200000,
1632718800000,15388.58251995407
1632722400000,
1632726000000,
1632729600000,36479.034850499236
1632733200000,44289.742065516126
1632736800000,36812.159320820814
1632740400000,36060.09570878167
1632744000000,56409.38156049427
1632747600000,57489.88190270372
1632751200000,46775.16458286311
1632754800000,38594.48812559393
1632758400000,37231.02738009027
1632762000000,33384.90669998443
1632765600000,26251.406686625385
1632769200000,39156.84236682265
1632772800000,42107.389504782186
1632776400000,37085.941889552676
1632780000000,35355.320343134365
1632783600000,24999.09967900506
1632787200000,63261.2438927767
1632790800000,
1632794400000,0.2370543334109243
1632798000000,
1632801600000,
1632805200000,15404.343068999879
1632808800000,
1632812400000,654.1935470013414
1632816000000,33215.66152916724
1632819600000,8012.776329922557
1632823200000,45811.89023419033
1632826800000,48921.86872021301
1632830400000,30404.34480685576
1632834000000,
1632837600000,
1632841200000,
1632844800000,33028.55888582562
1632848400000,45845.70246899784
1632852000000,31886.164860747158
1632855600000,32922.38299856399
1632859200000,41057.1037902082
1632862800000,
1632866400000,59059.70772064412
1632870000000,33036.166887698826
1632873600000,31039.67342500009
1632877200000,0.20762699932674877
1632880800000,0.24054883275918354
1632884400000,
1632888000000,21991.500215000997
1632891600000,15799.635623989161
1632895200000,
1632898800000,16333.755137333355
1632902400000,21158.040977999917
1632906000000,
1632909600000,60978.44045638838
1632913200000,35013.99150006667
1632916800000,24353.137298252477
1632920400000,47207.208927394095
1632924000000,35687.1890622944
1632927600000,
1632931200000,51418.236534263844
1632934800000,30919.06876793267
1632938400000,59763.72304599863
1632942000000,52028.097091231655
1632945600000,33097.004264366245
1632949200000,
1632952800000,56505.55665140855
1632956400000,
1632960000000,9725.612756999908
1632963600000,8536.218581323434
1632967200000,0.2520073273141558
1632970800000,
1632974400000,49941.776413037594
1632978000000,31561.03422463771
1632981600000,31756.259780166147
1632985200000,36819.48757822344
1632988800000,47395.59950657581
1632992400000,28539.409429233412
1632996000000,45704.09987492418
1632999600000,33126.73187400196
1633003200000,51009.70250361934
1633006800000,39669.059033170066
1633010400000,11789.750272000674
1633014000000,76134.78868773112
1633017600000,27017.56762687887
1633021200000,
1633024800000,
1633028400000,45756.293659826864
1633032000000,10617.431795745688
1633035600000,
1633039200000,58855.71449238588
1633042800000,32466.12882509659
1633046400000,27200.796422373667
1633050000000,35256.38335100084
1633053600000,22324.985772982473
1633057200000,0.24751366193716726
1633060800000,
1633064400000,
1633068000000,
1633071600000,1842.2878549899906
1633075200000,6603.613567240245
1633078800000,44965.913856445695
1633082400000,51497.06704560191
1633086000000,35675.04634441954
1633089600000,49337.46518734066
1633093200000,
1633096800000,
1633100400000,
1633104000000,47206.642062816674
1633107600000,22428.31575250034
1633111200000,30951.47558800045
1633114800000,
1633118400000,
1633122000000,
1633125600000,45663.80404647005
1633129200000,37111.7388528378
1633132800000,27187.90871074998
1633136400000,
1633140000000,
1633143600000,
1633147200000,0.446992002252955
1633150800000,46970.13927216661
